"Ich konnte das System, ohne nachzudenken verwenden.","Ich habe erreicht, was ich mit dem System erreichen wollte.","Die Art und Weise, wie das System funktioniert hat, war mir sofort klar.","Ich konnte auf eine mir vertraute Art mit dem System interagieren.","Bei der Verwendung des Systems traten keine Probleme auf.","Das System war nicht kompliziert zu verwenden.","Ich konnte meine Ziele so erreichen, wie ich es mir vorgestellt hatte.","Das System war von Anfang an einfach zu verwenden.","Es war mir immer klar, was ich tun musste, um das System zu verwenden.","Der Prozess des Verwendens des Systems verlief reibungslos.","Ich musste kaum konzentriert auf die Verwendung des Systems achten.","Das System hat mir geholfen meine Ziele vollständig zu erreichen.","Wie das System verwendet wird, war mir sofort klar.","Ich habe automatisch das Richtige getan, um meine Ziele zu erreichen."
"4","4","5","5","5","5","5","5","5","5","4","3","5","4"
"4","4","5","5","5","4","2","5","4","5","5","4","5","4"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"5","4","5","5","5","4","5","5","5","5","3","4","5","4"
"5","4","5","4","5","5","3","5","5","5","5","3","5","5"
"5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","5","5","5","5","5","4","5","5","5","5","5","5","5"
"4","5","4","2","5","3","5","1","5","5","1","5","4","5"
"3","5","4","4","5","5","4","4","4","5","4","5","4","5"
"5","5","5","5","5","5","4","5","5","5","5","5","5","5"
